PlotID,Date,UTM_E,UTM_N,GPS_error,Examiner1,Examiner2,Examiner3,Examiner4,pct_burned_gen,pre_fire_cover_int,pre_fire_living_int,pre_fire_dead_int,pct_green_int,pct_black_int,pct_brown_int,canopy_mortality_int,char_height_int,pct_girdled_int,pct_felled_int,pct_mortality_int,pre_fire_cover_big,pre_fire_living_big,pre_fire_dead_big,pct_green_big,pct_black_big,pct_brown_big,canopy_mortality_big,char_height_big,pct_girdled_big,pct_felled_big,pct_mortality_big,CBI_substrate,CBI_understory,CBI_tall_shrubs,CBI_int_trees,CBI_large_trees,CBI_total
1,5/17/2012,752968,3677304,11 ft,SP,TM,AP,MC,100%,20,11,1,3,2,2,3,2.5,NA,NA,NA,25,5,0,2.5,1,2.5,3,3,0,0,100,2.8,2.1,1.9,2.5,2.4,2.31
2,5/17/2012,752721,3677179,13 ft,MC,AP,,,100,15,10,0,2.5,1,2,2.7,1,NA,10,90,35,10,0,1.5,0.5,1.5,0,1.5,NA,NA,0,2.3,1.7,1.9,1.8,1,1.65
3,5/17/2012,752557,3677277,18 ft,MC,AP,,,100,10,6,0,3,1,2.5,3,3,NA,NA,100,15,6,2,2.5,1.5,2,3,3,NA,25,100,2,2,2.3,2.5,2.4,2.3
4,5/17/2012,752724,3677343,,AP,MC,,,100,35,13,0,2.7,2.3,1.2,3,3,NA,NA,100,10,2,0,2.3,2.2,1.5,2.5,3,NA,NA,50,3,2.4,2.1,2.4,2.3,2.39
5,5/17/2012,753023,3677344,15 ft,MC,AP,,,100,5,4,0,2.5,2,1,2.7,2.5,0,0,90,20,3,0,2,1,2,1,2,0,0,0,1.9,2.3,1.6,2.1,1.6,1.89
6,5/17/2012,753163,3677155,15 ft,AP,MC,,,100,25,10,0,2.4,1.2,2,2.5,2.5,NA,NA,80,60,10,0,1.5,0,1.5,1,1,0,0,0,1.8,2.5,2.1,2.1,1,1.85
7,5/17/2012,753043,3676944,17 ft,MC,AP,,,100,40,10,0,1,1,1,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.9,1.4,0.9,NA,1.58
8,5/17/2012,752781,3677188,10 ft,AP,MC,,,100,40,23,0,1.5,0,2,1.5,1.5,NA,NA,30,10,3,2,2,1.5,2,0,1,0,40,0,2,2,2.2,1.3,1.3,1.67
9,5/17/2012,752536,3677099,16 ft,MC,AP,,,80,25,8,0,0.5,0.5,1,0,1,0,0,0,10,2,1,1,1.5,1,0,1.5,0,20,0,2,1.5,0.3,0.6,1,0.92
10,5/17/2012,752640,3676871,11 ft,AP,MC,,,60,30,10,1,2,1.5,1,1.5,2.1,NA,10,40,15,3,0,1,0,1,0,0.5,NA,0,0,1.8,1.7,1.4,1.6,0.5,1.29
