PlotID,Date,UTM_E,UTM_N,GPS_error,Examiner1,Examiner2,Examiner3,Examiner4,pct_burned_gen,pre_fire_cover_int,pre_fire_living_int,pre_fire_dead_int,pct_green_int,pct_black_int,pct_brown_int,canopy_mortality_int,char_height_int,pct_girdled_int,pct_felled_int,pct_mortality_int,pre_fire_cover_big,pre_fire_living_big,pre_fire_dead_big,pct_green_big,pct_black_big,pct_brown_big,canopy_mortality_big,char_height_big,pct_girdled_big,pct_felled_big,pct_mortality_big,CBI_substrate,CBI_understory,CBI_tall_shrubs,CBI_int_trees,CBI_large_trees,CBI_total
1,8/20/2012,329096,5266395,1m,AP,TM,,,60%,20,18,7,1,0,1,1.3,0.6,0,0,30,15,7,6,1,0,1,0,0.6,0,0,0,1.4,1.9,2.1,0.8,0.5,1.3
2,8/20/2012,329214,5266183,1,McRae,Presnar,,,30%,15,13,1,1.8,0,2,1.8,0.5,0,0,55,20,9,4,1.2,0,1.2,1.1,0.6,12,0,12,0.6,1,2,1.2,0.8,1.1
3,8/20/2012,331365,5264632,1.5,MC ,SP,,,65%,10,11,0,2,0,2,1.7,0.5,20,0,50,15,8,1,1.2,0,1.3,1,0.5,25,0,14,1,1.3,1.9,1.2,0.8,1.2
4,8/20/2012,331531,5264939,2.2,SP,MC,,,80,13,10,0,0.5,0,1,0.7,0.5,10,0,10,17,9,2,1,0,1,0,1,0,0,0,1,1.3,2.6,0.5,0.6,1.2
5,8/19/2012,329529,5266294,2.1,SP,AP,,,35,33,26,NA,0.5,0.1,1,0.7,0.3,10,0,10,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.7,1.3,0.5,,0.9
6,8/19/2012,329008,5266680,2.5,SP,AP,,,15,12,11,3,0,0,0,0,0.3,0,0,0,20,8,10,0,0,0,0,0.2,0,0,0,0.4,0.5,0,0.1,0,0.2
7,8/19/2012,328499,5266329,2.4,SP,AP,,,50,8,7,2,1.6,1,1.8,1.3,0.4,0,0,30,13,5,7,0,0,0,0,0.2,0,0,0,1,1.5,1.8,1.2,0,1.1
8,8/19/2012,327624,5266751,3.2,SP,AP,,,100,12,16,3,3,1,2.6,3,2.1,80,0,100,25,15,1,2.9,1,2.7,2.8,2,85,1,93,2.4,2.7,3,2.3,2.3,2.5
9,8/19/2012,327674,5266951,2.2,SP,AP,,,65,NA,39,4,2.2,1,2,2,1.3,30,0,60,10,3,0,1,0,1,0,0.4,0,0,0,0.8,1.6,2.8,1.7,0.5,1.4
10,8/19/2012,327656,5267201,2.5,SP,AP,,,90,18,21,4,2.5,0,2.5,2.6,1,90,0,90,16,7,0,2.2,0,2,1.5,0.5,40,0,40,0.9,1.6,2.9,1.7,1.2,1.6
