PlotID,prefire_LCC,treeheight_mean,BA_HA,QMD,stems_ha,livecancov_loss,deadneedle,deepchar_mean,prop_killedBA,prop_killedSTEM,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,TotalPlotCBI_mean
BERRYGLADE1,0.503548145,4.21,2.27383722,4.284929,1578,0.98,5.3,0,1,1,0.91,0.52,0.37,2
BERRYGLADE2,0.481795121,2.466666667,0.06173499,2.172342,167,1,6.7,2.6,1,1,1,1,0.99,3
BERRYGLADE3,0.537120852,3.89,5.69358059,3.234511,1733,1,6,0,1,1,1,1,0.81,2.7
BERRYGLADE4,0.502922582,3.255,2.21024362,2.405421,2433,1,6,0.05,1,1,1,1,0.79,2.6
BERRYGLADE5,0.48497834,3.205882353,0.38568009,3.457171,411,1,4.94,0,0.943438914,0.97297297,0.69,0.19,0.34,2.2
BERRYGLADE6,0.489563393,3.438461538,0.85207378,2.980234,611,1,5.5,0.08,1,1,1,0.71,0.73,2.4
BERRYGLADEUNB1,,,,,,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB101,,,,,,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB102,0.48570305,6.8645,0.45941305,3.825239,200,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB103,0.515621603,7.249781,7.28211138,5.520285,1522,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB104,0.491202297,7.059406,1.01873645,4.272175,356,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB105,0.488439456,7.772,7.05567703,9.813815,467,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB2,,,,,,0,0,0,0,0,0,0,0,0
BERRYGLADEUNB3,,,,,,0,0,0,0,0,0,0,0,0
BERRYHUCK1,0.597174382,6.87,11.91856202,6.91253,1589,1,5.9,0,1,1,1,0.68,0.47,2.5
BERRYHUCK101,0.635524515,18.045,16.6573226,11.172877,1700,1,6.15,0.05,1,1,1,1,0.86,2.2
BERRYHUCK2,0.626896683,7.325,19.01786802,5.370666,2100,1,6,0,1,1,1,0.88,0.58,2.3
BERRYHUCK3,0.629330833,6.43,15.36568694,3.380196,8566,1,6,0,1,1,1,1,0.73,2.5
BERRYHUCK4,0.66418156,8.29,30.52544515,6.517417,2289,1,6,0,1,1,1,0.82,0.53,2.5
BERRYHUCK5,0.645320575,7.425,17.33509865,5.382812,3811,1,6,0,1,1,1,1,0.3,2.4
BERRYHUCK6,0.672794713,9.32,25.95749199,10.782501,711,1,5.55,0,1,1,1,0.52,0.27,2.1
BERRYHUCK7,0.606827931,6.86,12.94253395,6.420466,2000,0,2.1,0,0.047429631,0.20555556,0.3,0.04,0.26,0.8
BERRYHUCK8,0.576440002,9.15,9.74496674,4.907263,1289,0.38,2.25,0,0.283936246,0.51724138,0.88,0.14,0.17,1.7
BERRYHUCK9,0.615732796,7.695,13.89495437,6.129905,1178,0.66,1.58,0,0.537427782,0.56603774,0.62,0.15,0.11,1.4
BERRYHUCKUNB1,,,,,,0,0,0,0,0,0,0,0,0
BERRYHUCKUNB2,,,,,,0,0,0,0,0,0,0,0,0
BERRYHUCKUNB3,,,,,,0,0,0,0,0,0,0,0,0
JOLL1,0.637443046,14.99,16.32726944,17.965981,322,1,5.6,0.5,1,1,0.99,0.53,0.45,2.138
JOLL2,0.622158487,16.4,14.58734612,33.392632,167,0.39,2.38,0.07,0.085886881,0.333333333,0.92,0.35,0.21,1.202
JOLL3,0.677911211,18.755,24.33391258,18.832967,655,0.45,2.85,0.05,0.238324022,0.796296296,0.84,0.26,0.31,1.643
JOLL4,0.764070342,27.23,31.7771603,28.144061,256,0,1.75,0,0.217024782,0.65217391,0.77,0.16,0.18,1.705
JOLL5,0.656108835,18.8,20.52568523,17.597468,422,1,5.4,0,1,1,1,0.66,0.53,2.589
JOLL6,0.583849724,9.6435,10.51807209,9.151557,800,1,5.55,0,1,1,0.89,0.36,0.42,2.533333333
JOLL7,0.536412247,8.57,5.62115649,6.540522,1255,0.95,5.95,0,1,1,0.97,0.62,0.46,2.71875
JOLL8,0.498519112,4.39,1.76261039,5.090249,433,1,6,0.1,1,1,1,0.74,0.83,2.88
JOLL9,0.78235391,32.15333333,39.41964697,37.582833,356,1,4.6,0,1,1,1,0.66,0.51,2.732
JOLLUNB1,0.572564439,11.647559,9.3420532,17.749652,378,0,0,0,0,0,0,0,0,0
JOLLUNB2,0.545345596,10.957531,6.53540156,15.302743,356,0,0,0,0,0,0,0,0,0
JOLLUNB3,0.598247664,12.513957,12.03199735,17.318014,256,0,0,0,0,0,0,0,0,0
JONE1,0.89054223,39.58125,62.23149023,54.5265,267,1,6,0,1,1,0.93,0.1,0.16,2.112
JONE10,0.886976472,24.34210526,54.29232656,48.017051,300,1,6,0,1,1,1,0.86,0.13,2.887
JONE11,0.836802557,36.33333333,58.1748686,44.959231,367,0.1,2.44,1.06,0.19492372,0.47826087,0.94,0.51,0.14,2.091
JONE2,0.66770091,20.92352941,19.77243106,27.960129,322,0.21,0.55,0.06,0.359159699,0.75,0.9,0.16,0.15,1.65625
JONE3,0.971352177,30.08888889,111.0933189,79.806289,222,1,6,0.06,1,1,1,1,0.27,2.614
JONE4,0.907803164,39.52142857,60.27385834,61.963564,200,0.74,5.14,0.07,0.815691846,0.88235294,0.91,0.17,0.08,2.323
JONE5,0.961483864,27.71111111,110.2091778,67.179692,311,0,2.33,0.22,0.096863587,0.48,0.87,0.14,0.26,1.692
JONE6,0.708267387,27.11,25.41823792,17.423895,533,0,0.55,0,0.195018822,0.65957447,0.95,0.07,0.14,1.4375
JONE7,0.945134896,35.315,91.39199433,51.183764,444,0,2.21,0,0.174201471,0.54545455,0.99,0.05,0.26,1.527
JONE8,0.828598236,29.505,42.34256982,41.640672,311,1,5.95,0.05,1,1,1,0.63,0.14,2.427
JONE9,0.775367209,21.35,36.31697277,37.256524,333,0.74,6,0,0.998719758,0.96428571,1,0.11,0.23,2.264
JONEREB1,0.933134296,49.3,72.12806764,67.783508,200,0.14,0.86,0,0.067083963,0.125,1,0.25,0.25,1.853
JONEREB2,0.939710514,34.95,71.70901138,61.134121,122,0.86,6.06,0,1,1,0.99,0.38,0.06,2.178
JONEREB3,0.967998997,42.33846154,92.81190788,59.55927,167,0.44,0,0.31,0,0,1,0.49,0.24,1.797
JONEREB4,0.818579651,36.525,44.11674188,53.011929,200,0.34,1.92,0.08,0.344490624,0.33333333,0.99,0.47,0.2,1.909
JONEREB5,0.996373804,16.395,144.6335258,46.712793,633,0.14,4.2,0.05,0.001057793,0.89473684,0.69,0.13,0.29,1.92625
JONEREB6,0.680481644,22.38,22.1831498,27.351446,378,0,0,0,0.003862001,0.09375,0.67,0.06,0.16,1.27625
JONEREB7,0.911480658,46.7,72.856017,68.1247,200,0,0,0.13,0,0,0.93,0.06,0.13,1.267
JONEREB8,0.952614727,20.69411765,80.31438942,69.619039,211,0.39,3.69,0.41,0.053001236,0.66666667,0.65,0.19,0.27,1.94625
JONEREB9,0.85101527,5.105,69.57490031,41.198889,522,0.92,5.95,0.2,1,1,0.78,0.12,0.23,2.5425
JONEREBUNB1,0.729633242,13.844,34.74502098,33.738084,389,0,0,0,0,0,0,0,0,0
JONEREBUNB2,0.66686047,19.969308,25.45663142,33.50595,144,0,0,0,0,0,0,0,0,0
JONEUNB1,,,,,,0,0,0,0,0,0,0,0,0
JONEUNB2,0.802337264,17.48,40.44405519,32.464532,489,0,0,0,0,0,0,0,0,0
JONEUNB3,0.765080828,12.434167,33.05963387,26.494778,600,0,0,0,0,0,0,0,0,0
JONEUNB4,0.8371352,19.719404,50.75379895,35.187911,522,0,0,0,0,0,0,0,0,0
JONEUNB5,0.908114254,22.300735,78.22179858,44.47984,378,0,0,0,0,0,0,0,0,0
JONEUNB6,0.943476402,22.85432,100.5207106,48.012124,278,0,0,0,0,0,0,0,0,0
LIBE1,0.628677821,13,15.82902661,16.840123,356,1,6,0,1,1,1,1,0.85,2.91
LIBEREB1,0.482206611,2.311111111,2.10989699,8.435276,378,1,6,0.06,1,1,1,0.97,0.63,2.87875
LIBEREB2,0.543870285,13.2125,7.27774849,21.531308,200,1,5.63,0.31,1,1,0.87,0.72,0.44,2.45
LIBEREB3,0.481754401,2.17,8.37181762,13.251246,456,0.99,6,0,1,1,0.64,0.56,0.42,2.09125
LIBEREB4,0.543499738,10.78571429,6.34626998,20.106254,200,0.94,5,0.2,0.409700261,0.88888889,0.97,0.62,0.47,2.514
LIBEREB5,0.518028067,12.92105263,11.86126264,14.428002,544,1,6.32,0.47,1,1,1,1,0.9,2.973
LIBEREBUNB1,0.504877428,9.279733,10.5789345,16.418098,500,0,0,0,0,0,0,0,0,0
LIBEUNB1,0.663821524,10.23248,21.28831962,15.623518,556,0,0,0,0,0,0,0,0,0
LIBEUNB2,0.612627492,8.819847,13.77802872,11.806546,944,0,0,0,0,0,0,0,0,0
LOLO1,0.640433223,16.245,17.66187964,25.559112,344,1,6.05,0.05,1,1,1,1,0.81,2.826
LOLO10,0.574208526,22.425,9.7214071,17.126985,422,0.93,4.9,0.15,1,1,1,0.24,0.26,2.152
LOLO11,0.63983605,24.62,20.3203382,18.884531,544,1,6,0.15,1,1,1,0.99,0.39,2.679
LOLO12,0.563435454,15.325,11.81966969,14.551938,533,0.97,5.95,0.3,1,1,0.86,0.51,0.28,2.275
LOLO13,0.693524357,20.91,23.06200305,23.47124,533,0.96,4.8,0.15,0.97397698,0.97777778,0.98,0.35,0.15,2.291
LOLO14,0.64934562,18.94,18.88087306,13.107924,700,0,0,0,0.168388122,0.38596491,0.55,0.02,0.25,1.02125
LOLO15,0.575072958,20.275,10.60358487,15.593712,278,1,6.05,0.2,1,1,1,1,0.9,2.965
LOLO2,0.628199448,18.23,16.10519798,20.182843,378,1,5.95,0.85,1,1,1,0.95,0.4,2.852
LOLO3,0.671260989,6.135,20.05565578,19.363252,511,0.99,4.5,0,0.95691268,0.89130435,0.91,0.31,0.14,1.70375
LOLO4,0.662717252,25.315,19.35730141,20.088578,611,0.66,4.45,0.1,0.655758324,0.75471698,0.78,0.16,0.24,1.839
LOLO5,0.663476631,23.305,21.00254987,15.072706,589,1,6,0.05,1,1,1,0.76,0.85,2.951
LOLO6,0.667977012,21.165,22.75512559,14.059206,733,1,5.15,0.3,1,1,1,0.52,0.16,2.705
LOLO7,0.626639658,23.355,16.87306786,14.196116,533,1,5.2,0.1,1,1,1,0.54,0.25,2.683
LOLO8,0.694668933,19.625,22.81489728,22.4293,289,0.23,1.9,0,0.344072855,0.48,0.98,0.51,0.14,1.609
LOLO9,0.619213998,17.705,14.29132356,14.68377,844,0.22,1.55,0,0.264825035,0.57333333,0.99,0.22,0.09,1.493333333
LOLOUNB1,0.601958288,15.578333,13.20619836,25.118369,200,0,0,0,0,0,0,0,0,0
